hitza	agerpen kopurua	maiztasuna milioi testu-hitzeko	silaba kopurua	auzokide kopurua
inoiz	10372	456.53	2	2
bete	10323	454.37	2	18
lana	10264	451.77	2	35
heldu	10245	450.94	2	6
jokatu	10208	449.31	3	9
jaso	10146	446.58	2	13
horregatik	10129	445.83	4	4
bezain	10022	441.12	2	3
hark	10016	440.86	1	10
zenbait	10008	440.5	2	7
etxean	10003	440.28	3	8
iritsi	9839	433.07	3	8
berria	9829	432.63	3	12
ohi	9727	428.14	2	6
gora	9657	425.06	2	30
dagoen	9656	425.01	3	11
ustez	9625	423.65	2	11
zirela	9601	422.59	3	10
zuzen	9571	421.27	2	8
urteko	9560	420.79	3	16
denak	9549	420.3	2	20
ditugu	9547	420.21	3	4
behera	9530	419.47	3	13
duk	9499	418.1	1	2
gertatzen	9477	417.13	3	10
zeuden	9427	414.93	2	7
jende	9410	414.18	2	4
besteak	9257	407.45	3	13
ondoan	9209	405.34	3	8
onartu	9193	404.63	3	3
une	9191	404.54	2	3
batekin	9178	403.97	3	10
zaio	9151	402.78	2	19
neure	9137	402.17	2	8
galdetu	9063	398.91	3	6
bati	9010	396.58	2	12
hamar	9009	396.53	2	4
era	8981	395.3	2	16
mundu	8963	394.51	2	7
gelditu	8916	392.44	3	4
bestalde	8912	392.26	3	3
gai	8896	391.56	1	9
itzuli	8868	390.33	3	6
alderdi	8854	389.71	3	4
dituzten	8809	387.73	3	6
gutxi	8798	387.25	2	9
honek	8765	385.79	2	7
jauna	8758	385.49	2	13
gazte	8755	385.35	2	11
beharra	8741	384.74	3	11
etxe	8732	384.34	2	7
bildu	8682	382.14	2	6
bidez	8629	379.81	2	17
handi	8608	378.88	2	9
hauek	8573	377.34	2	13
badu	8526	375.27	2	13
ala	8511	374.61	2	22
san	8482	373.34	1	4
buru	8452	372.02	2	8
handik	8438	371.4	2	11
daiteke	8428	370.96	3	7
zeren	8398	369.64	2	25
ibili	8362	368.06	3	9
batzuetan	8347	367.4	4	3
ginen	8318	366.12	2	19
aurkitu	8314	365.94	3	5
horien	8297	365.19	3	21
emakume	8260	363.57	4	3
herrian	8245	362.91	3	12
duena	8195	360.7	3	16
aski	8166	359.43	2	17
buruzko	8131	357.89	3	7
salatu	8098	356.44	3	8
ezta	8076	355.47	2	13
ezagutzen	8068	355.12	4	9
erakutsi	8052	354.41	4	5
berehala	8037	353.75	4	1
jaunak	8033	353.57	2	11
zara	7978	351.15	2	25
aldeko	7970	350.8	3	11
nagusia	7917	348.47	4	8
dagoela	7914	348.34	4	6
ondorioz	7903	347.85	4	5
taldeak	7801	343.36	3	10
eusko	7792	342.97	2	3
ama	7756	341.38	2	15
azkenean	7745	340.9	4	4
izena	7702	339.01	3	19
gobernuak	7637	336.14	4	6
ene	7627	335.7	2	9
urtean	7618	335.31	3	15
zutela	7617	335.26	3	4
pertsona	7602	334.6	3	5
gauzak	7589	334.03	2	13
sei	7567	333.06	1	10
bidea	7509	330.51	3	17
milioi	7496	329.94	3	6
estatu	7474	328.97	3	15
bota	7465	328.57	2	35
zitzaidan	7458	328.27	3	6
aurkako	7435	327.25	3	12
eragin	7424	326.77	3	6
osoa	7403	325.84	3	17
bila	7401	325.76	2	36
baldin	7399	325.67	2	5
liburu	7378	324.74	3	4
diru	7358	323.86	2	14
berriak	7251	319.15	3	12
begiratu	7247	318.98	4	4
erdi	7237	318.54	2	10
ekarri	7225	318.01	3	9
emango	7207	317.22	3	5
ditut	7176	315.85	2	6
aritu	7164	315.33	3	14
moduan	7158	315.06	3	7
munduko	7134	314	3	6
nituen	7107	312.82	3	6
ordu	7101	312.55	2	9
inork	7014	308.72	2	4
baitzen	7006	308.37	2	16
hizkuntza	7006	308.37	3	7
alegia	7001	308.15	4	9
jokatuko	6984	307.4	4	3
barruan	6976	307.05	3	13
erabat	6957	306.21	3	0
agian	6949	305.86	3	11
eginez	6949	305.86	3	12
garai	6943	305.6	2	20
pentsatu	6933	305.16	3	4
esker	6888	303.18	2	10
delako	6873	302.52	3	10
aipatu	6857	301.81	3	9
giza	6854	301.68	2	16
guk	6834	300.8	1	3
begiak	6832	300.71	3	10
hartuko	6819	300.14	3	9
guztiz	6809	299.7	2	9
dakit	6803	299.44	2	10
euren	6799	299.26	2	16
horri	6750	297.1	2	11
zabaldu	6737	296.53	3	8
bainan	6701	294.95	2	17
soilik	6684	294.2	2	6
balitz	6679	293.98	2	6
buruan	6672	293.67	3	12
aurre	6669	293.54	2	10
musika	6666	293.41	3	11
balio	6664	293.32	3	15
maite	6659	293.1	2	8
aurreko	6651	292.75	3	11
aurten	6630	291.82	2	4
bizitza	6625	291.6	3	7
zuenez	6621	291.42	3	11
jarraitu	6620	291.38	3	6
emateko	6609	290.9	4	11
batere	6608	290.85	3	4
honen	6607	290.81	2	12
ostean	6603	290.63	3	16
nagusi	6602	290.59	3	4
prest	6573	289.31	1	5
lanean	6568	289.09	3	15
hots	6545	288.08	1	9
seme	6537	287.73	2	7
oro	6534	287.6	2	15
jartzen	6525	287.2	2	9
biak	6524	287.16	2	20
aldi	6522	287.07	2	11
gabeko	6518	286.89	3	15
edozein	6499	286.06	3	2
batzuek	6485	285.44	3	7
zait	6465	284.56	1	13
zuk	6439	283.41	1	7
zain	6438	283.37	1	25
diot	6435	283.24	2	12
zenean	6420	282.58	3	13
dituela	6396	281.52	4	6
inguruko	6387	281.13	4	3
sortzen	6382	280.91	2	12
litzateke	6380	280.82	4	1
deitu	6357	279.8	2	9
gizarte	6354	279.67	3	2
dauden	6348	279.41	2	8
neska	6334	278.79	2	6
laster	6332	278.7	2	6
modu	6329	278.57	2	7
badira	6326	278.44	3	9
leku	6323	278.31	2	8
are	6296	277.12	2	20
barne	6287	276.72	2	6
guztien	6268	275.89	3	9
espero	6260	275.54	3	2
dugun	6250	275.1	2	5
ondotik	6240	274.66	3	4
eskatzen	6239	274.61	3	10
die	6214	273.51	2	5
hartzeko	6209	273.29	3	12
hurrengo	6209	273.29	3	5
maila	6207	273.2	2	20
erabiltzen	6203	273.03	4	7
lehenago	6185	272.23	4	1
garbi	6174	271.75	2	11
sartzen	6167	271.44	2	18
idatzi	6112	269.02	3	5
iragan	6094	268.23	3	4
uzten	6088	267.96	2	12
jendea	6070	267.17	3	9
taldea	6063	266.86	3	12
izana	6059	266.69	3	14
bidean	6048	266.2	3	9
euskara	6048	266.2	3	7
luze	6045	266.07	2	8
kontrako	6019	264.93	3	4
horixe	6004	264.27	3	5
zegoela	6003	264.22	4	1
txiki	5970	262.77	2	12
gogoan	5946	261.71	3	10
igandean	5926	260.83	4	4
aste	5922	260.66	2	13
ezagutu	5900	259.69	4	5
hirugarren	5896	259.51	4	1
lehenengo	5890	259.25	4	2
behintzat	5879	258.77	3	3
aldetik	5876	258.63	3	9
bihar	5872	258.46	2	11
laguntza	5863	258.06	3	6
berdin	5862	258.02	2	2
falta	5835	256.83	2	10
baitu	5814	255.9	2	21
jotzen	5809	255.68	2	9
bateko	5795	255.07	3	20
eguna	5785	254.63	3	10
atzera	5763	253.66	3	11
baitzuen	5758	253.44	3	4
lege	5757	253.4	2	8
sekula	5750	253.09	3	3
abiatu	5713	251.46	4	6
egunean	5701	250.93	4	9
zazpi	5695	250.67	2	5
aldatu	5665	249.35	3	10
zenbat	5653	248.82	2	4
guztiek	5652	248.77	3	8
orduko	5647	248.55	3	8
bertze	5641	248.29	2	12
kanpo	5637	248.11	2	4
betiko	5630	247.81	3	12
egongo	5619	247.32	3	5
nabarmendu	5614	247.1	4	3
esango	5592	246.13	3	3
sentitzen	5579	245.56	3	5
aurkeztu	5576	245.43	3	4
etxera	5575	245.39	3	6
erabili	5566	244.99	4	4
jarrera	5566	244.99	3	13
har	5549	244.24	1	10
ederra	5524	243.14	3	8
askotan	5523	243.1	3	7
puntu	5513	242.66	2	11
hara	5497	241.95	2	29
jakinarazi	5495	241.86	5	3
pentsatzen	5493	241.78	3	4
nago	5489	241.6	2	11
osoan	5485	241.42	3	10
agertzen	5482	241.29	3	9
aldera	5481	241.25	3	13
zeukan	5458	240.24	2	10
haur	5434	239.18	1	12
agindu	5423	238.69	3	8
nor	5421	238.61	1	4
ezarri	5404	237.86	3	9
euro	5397	237.55	2	13
kontu	5390	237.24	2	10
erakusten	5388	237.15	4	7
herria	5386	237.07	3	17
noiz	5377	236.67	1	6
mila	5373	236.49	2	24
benetan	5346	235.31	3	14
begi	5344	235.22	2	18
iruditzen	5342	235.13	4	3
bereziki	5310	233.72	4	6
gau	5303	233.41	1	5
kendu	5299	233.24	2	6
hilabete	5292	232.93	4	7
zuena	5269	231.92	3	15
luke	5267	231.83	2	11
zituela	5259	231.48	4	8
dit	5235	230.42	1	6
indar	5222	229.85	2	4
nahiko	5217	229.63	3	10
kontuan	5208	229.23	3	10
niri	5208	229.23	2	13
hitzak	5202	228.97	2	13
halaber	5198	228.79	3	0
jainkoaren	5197	228.75	4	6
bazen	5196	228.7	2	20
lanak	5190	228.44	2	29
ezker	5170	227.56	2	8
etxeko	5166	227.38	3	9
ateratzen	5163	227.25	4	10
nork	5161	227.16	1	6
gainetik	5154	226.85	3	3
preso	5144	226.41	2	8
hiri	5118	225.27	2	22
itxura	5105	224.7	3	7
hari	5077	223.47	2	26
hasieran	5077	223.47	4	7
noski	5054	222.45	2	2
zuri	5027	221.26	2	27
kasu	5022	221.04	2	11
jean	5021	221	2	12
duzue	5017	220.82	3	7
haatik	4970	218.76	3	2
ageri	4968	218.67	3	10
deitzen	4968	218.67	2	10
nagusiak	4965	218.54	4	7
hona	4928	216.91	2	18
aldean	4927	216.86	3	16
handiak	4917	216.42	3	11
lur	4899	215.63	1	2
hitza	4887	215.1	2	16
gutxiago	4879	214.75	4	7
eginen	4873	214.49	3	14
irten	4868	214.27	2	8
dudan	4861	213.96	2	14
ekin	4861	213.96	2	14
bestela	4855	213.69	3	6
gerra	4839	212.99	2	19
euskaraz	4833	212.73	3	5
halere	4816	211.98	3	4
jarraitzen	4800	211.27	3	7
inor	4797	211.14	2	9
bakar	4789	210.79	2	13
amaitu	4781	210.44	3	5
ihes	4781	210.44	2	5
horrekin	4779	210.35	3	8
aldaketa	4776	210.22	4	4
atzean	4759	209.47	3	16
adibidez	4757	209.38	4	4
zaila	4735	208.41	2	22
eskaini	4727	208.06	3	6
izen	4727	208.06	2	16
handiagoa	4723	207.88	5	9
baitan	4722	207.84	2	19
hasiko	4720	207.75	3	6
zuenean	4718	207.66	4	11
denean	4695	206.65	3	11
atxilotu	4687	206.3	4	4
goizean	4681	206.04	3	6
zortzi	4678	205.9	2	5
entzuten	4676	205.82	3	7
erdian	4671	205.6	3	9
horietan	4664	205.29	4	12
inguru	4664	205.29	3	5
arazo	4660	205.11	3	9
askoz	4653	204.8	2	10
ezik	4650	204.67	2	10
jakina	4638	204.14	3	9
nuke	4636	204.05	2	6
geroztik	4631	203.83	3	2
asmoa	4627	203.66	3	13
ikus	4627	203.66	2	6
guztietan	4622	203.44	4	5
elkarrekin	4614	203.09	4	1
kide	4613	203.04	2	9
lasai	4599	202.43	2	9
min	4599	202.43	1	4
pasatu	4597	202.34	3	18
ninduen	4595	202.25	3	7
atzetik	4591	202.07	3	12
aitak	4578	201.5	2	17
honela	4577	201.46	3	2
bihurtu	4575	201.37	3	2
zehar	4571	201.19	2	10
ideia	4565	200.93	3	11
ezen	4562	200.8	2	25
saiatu	4561	200.75	3	7
hartuta	4550	200.27	3	6
deus	4547	200.14	1	5
batzuen	4540	199.83	3	10
bestetik	4540	199.83	3	8
erabakia	4519	198.9	5	9
gizonak	4502	198.16	3	8
horrelako	4495	197.85	4	4
beharbada	4490	197.63	4	0
huts	4452	195.96	1	10
zera	4450	195.87	2	33
hainbeste	4447	195.74	3	4
datorren	4442	195.52	3	7
anaia	4423	194.68	3	13
joko	4418	194.46	2	11
geratzen	4398	193.58	3	11
inolako	4394	193.4	4	5
ulertzen	4390	193.23	3	7
iritzi	4389	193.18	3	10
pixka	4386	193.05	2	11
legez	4381	192.83	2	6
gehienak	4378	192.7	4	8
dauka	4373	192.48	2	12
herrialde	4373	192.48	4	4
oraino	4372	192.43	3	7
amak	4356	191.73	2	20
kontua	4355	191.69	3	16
iragarri	4350	191.47	4	7
gaizki	4334	190.76	2	8
astean	4332	190.67	3	15
herenegun	4315	189.93	4	1
hartzea	4289	188.78	3	16
joaten	4288	188.74	3	9
iaz	4287	188.69	2	1
baitira	4280	188.39	3	2
herrietako	4275	188.17	5	9
helburu	4272	188.03	3	5
gizona	4267	187.81	3	6
politiko	4265	187.73	4	7
hasten	4260	187.5	2	17
nahikoa	4244	186.8	4	7
zena	4243	186.76	2	24
dizut	4232	186.27	2	7
hobeto	4232	186.27	3	3
bizia	4225	185.96	3	15
ikusiko	4223	185.88	4	4
politika	4223	185.88	4	7
beldur	4221	185.79	2	1
egina	4211	185.35	3	13
bakoitzak	4203	185	3	7
jada	4191	184.47	2	9
buruari	4170	183.54	4	7
direnak	4162	183.19	3	13
nazio	4151	182.71	3	12
jokatzen	4150	182.66	3	10
jainkoak	4144	182.4	3	9
sistema	4139	182.18	3	4
jokalari	4130	181.78	4	6
ariko	4123	181.47	3	13
horietako	4122	181.43	5	10
arrazoi	4115	181.12	3	6
esaterako	4099	180.42	5	2
dituztela	4098	180.37	4	4
bezalako	4095	180.24	4	2
presidente	4081	179.63	4	5
mahai	4079	179.54	2	10
atea	4077	179.45	3	28
familia	4068	179.05	4	10
historia	4068	179.05	4	10
lortzeko	4060	178.7	3	9
eskaintzen	4058	178.61	3	9
emakumeak	4055	178.48	5	6
helburua	4055	178.48	4	8
osatzen	4052	178.35	3	13
kanpoko	4048	178.17	3	2
jendeak	4044	178	3	7
eduki	4032	177.47	3	5
sentitu	4031	177.43	3	4
dirua	4030	177.38	3	16
gazteak	4030	177.38	3	12
betetzen	4028	177.29	3	5
dagoeneko	4022	177.03	5	4
eskubidea	4020	176.94	5	8
eskola	4015	176.72	3	11
pozik	4007	176.37	2	4
neurri	3999	176.02	2	5
itxi	3991	175.66	2	9
igo	3983	175.31	2	4
ugari	3967	174.61	3	9
egitera	3960	174.3	4	13
zizkion	3954	174.04	3	10
eginiko	3949	173.82	4	4
eskua	3935	173.2	3	16
izandako	3920	172.54	4	1
politikoa	3912	172.19	5	10
galdera	3909	172.06	3	16
bukatu	3900	171.66	3	12
auzitegi	3895	171.44	4	6
benetako	3888	171.13	4	12
taldeko	3887	171.09	3	9
azpian	3873	170.47	3	9
ireki	3871	170.38	3	7
bitartez	3870	170.34	3	4
askok	3869	170.29	2	13
diat	3867	170.21	2	9
zati	3866	170.16	2	14
nuela	3859	169.85	3	7
jaun	3849	169.41	1	12
azkenik	3843	169.15	3	4
egungo	3836	168.84	3	4
biltzen	3835	168.8	2	13
berezia	3824	168.31	4	13
aitortu	3821	168.18	3	2
ikasi	3817	168.01	3	4
eder	3814	167.87	2	8
eztabaida	3804	167.43	4	5
enpresa	3801	167.3	3	4
eragiten	3786	166.64	4	9
argia	3784	166.55	3	15
lehenik	3784	166.55	3	4
elkar	3782	166.47	2	5
pare	3782	166.47	2	25
ikusteko	3780	166.38	4	7
ulertu	3780	166.38	3	3
esanetan	3775	166.16	4	4
elkarri	3772	166.03	3	4
gehien	3764	165.67	3	7
edota	3757	165.37	3	1
ondoko	3749	165.01	3	7
euskararen	3747	164.93	4	2
denek	3741	164.66	2	17
bidali	3733	164.31	3	6
kronikak	3732	164.26	3	6
langile	3731	164.22	3	6
gogor	3730	164.18	2	8
urteetan	3725	163.96	4	7
bestea	3714	163.47	3	19
borroka	3707	163.16	3	8
baterako	3706	163.12	4	12
liburua	3702	162.94	4	7
ehun	3695	162.64	2	6
heriotza	3694	162.59	4	6
horra	3686	162.24	2	18
gaineratu	3680	161.98	4	4
polizia	3676	161.8	4	8
hobe	3674	161.71	2	6
mintzatu	3672	161.62	3	7
ohartu	3666	161.36	3	6
zehaztu	3666	161.36	3	6
munduan	3664	161.27	3	9
ardura	3658	161.01	3	8
bizirik	3655	160.88	3	7
legea	3652	160.74	3	13
onak	3645	160.44	2	18
gainerako	3643	160.35	4	6
eginda	3638	160.13	3	5
irakurri	3635	160	4	2
horretaz	3634	159.95	3	5
jasotzen	3623	159.47	3	7
minutu	3621	159.38	3	8
obra	3615	159.12	2	6
eraso	3613	159.03	3	7
hango	3612	158.98	2	9
bazuen	3610	158.9	3	13
errege	3607	158.76	3	5
herriaren	3597	158.32	4	10
jaitsi	3597	158.32	2	6
iruditu	3587	157.88	4	4
jaunaren	3566	156.96	3	3
irudi	3565	156.91	3	4
antzeko	3556	156.52	3	12
izanik	3555	156.47	3	11
pilota	3552	156.34	3	14
hantxe	3546	156.08	2	3
hortaz	3540	155.81	2	9
urtez	3539	155.77	2	13
aztertu	3533	155.51	3	4
zeure	3533	155.51	2	8
hemendik	3531	155.42	3	1
dutenak	3524	155.11	3	7
hogeita	3522	155.02	3	7
kultura	3486	153.44	3	6
ematea	3484	153.35	4	18
mota	3483	153.31	2	24
duenez	3482	153.26	3	14
eutsi	3464	152.47	2	6
emaitza	3460	152.29	3	5
esateko	3458	152.2	4	7
geroago	3456	152.12	4	6
badute	3454	152.03	3	6
dezake	3453	151.98	3	6
harekin	3453	151.98	3	8
ikerketa	3450	151.85	4	3
balu	3446	151.68	2	18
gela	3442	151.5	2	20
hurbildu	3438	151.32	3	4
bata	3436	151.24	2	31
piztu	3435	151.19	2	10
duelako	3434	151.15	4	10
onena	3432	151.06	3	13
urrun	3429	150.93	2	12
etxea	3428	150.88	3	10
mailako	3425	150.75	3	10
beraren	3423	150.66	3	17
gaude	3419	150.49	2	7
erakunde	3411	150.14	4	4
jan	3407	149.96	1	8
jadanik	3400	149.65	3	1
garaian	3394	149.39	3	10
gelditzen	3393	149.34	3	5
halaxe	3384	148.95	3	5
handiena	3378	148.68	4	6
onartzen	3371	148.38	3	6
antolatu	3367	148.2	4	2
gaurko	3366	148.16	2	4
uzteko	3360	147.89	3	11
lekua	3358	147.8	3	11
joango	3356	147.72	3	3
lagundu	3352	147.54	3	5
arazoak	3351	147.5	4	7
igaro	3345	147.23	3	6
aurkitzen	3336	146.83	3	4
jarriko	3334	146.75	3	8
herriak	3333	146.7	3	16
izeneko	3329	146.53	4	9
begiratzen	3328	146.48	4	6
ziur	3319	146.09	2	3
alaba	3317	146	3	12
kontatu	3317	146	3	9
auto	3314	145.87	2	11
jon	3313	145.82	1	4
nengoen	3310	145.69	3	4
joateko	3309	145.65	4	5
ordez	3301	145.29	2	11
aurtengo	3299	145.21	3	3
egunero	3296	145.07	4	4
aipatzen	3280	144.37	3	13
gaineko	3277	144.24	3	7
elkarteak	3275	144.15	4	8
ibiltzen	3262	143.58	3	9
biziki	3259	143.45	3	10
ukan	3259	143.45	2	9
toki	3248	142.96	2	8
ahots	3247	142.92	2	6
handirik	3245	142.83	3	6
barre	3231	142.21	2	14
hutsa	3230	142.17	2	14
ohartarazi	3226	141.99	5	6
ekintza	3225	141.95	3	5
eskuak	3216	141.55	3	13
ipar	3216	141.55	2	12
utziko	3213	141.42	3	7
erori	3210	141.29	3	20
ahaztu	3206	141.11	3	5
beharrik	3205	141.07	3	12
handiko	3201	140.89	3	10
zieten	3186	140.23	3	12
apur	3185	140.19	2	10
denez	3182	140.06	2	18
gorputz	3182	140.06	2	6
zertan	3174	139.7	2	12
nahiago	3170	139.53	4	3
digu	3165	139.31	2	10
tira	3154	138.82	2	19
egotea	3153	138.78	4	13
hortik	3149	138.6	2	4
martxoaren	3147	138.52	4	4
dezagun	3146	138.47	3	5
jainkoa	3146	138.47	3	10
kantu	3146	138.47	2	16
txapelketa	3146	138.47	4	4
ministro	3144	138.38	3	4
beharrean	3141	138.25	4	7
idazten	3138	138.12	3	7
asmatu	3137	138.08	3	7
elkarren	3136	138.03	3	4
zigorra	3132	137.86	3	5
daudela	3131	137.81	3	4
txarra	3126	137.59	2	13
aurpegia	3125	137.55	4	7
segurtasun	3118	137.24	4	1
merezi	3116	137.15	3	4
zaie	3111	136.93	2	12
argitu	3110	136.89	3	7
biok	3108	136.8	2	12
beharreko	3103	136.58	4	7
goizeko	3098	136.36	3	6
saria	3098	136.36	3	27
berezi	3097	136.32	3	14
isilik	3091	136.05	3	6
finala	3085	135.79	3	9
zahar	3083	135.7	2	11
dadin	3081	135.61	2	7
herritar	3081	135.61	3	2
pasa	3079	135.52	2	27
idazle	3078	135.48	3	4
berez	3076	135.39	2	30
barrena	3067	134.99	3	17
dei	3065	134.91	1	4
hego	3056	134.51	2	10
jainko	3051	134.29	2	9
emandako	3040	133.81	4	5
hasiera	3040	133.81	4	7
zelako	3040	133.81	3	15
berarekin	3037	133.67	4	15
dantza	3034	133.54	2	9
bake	3033	133.5	2	15
gutxienez	3025	133.15	4	7
erresuma	3024	133.1	4	4
etxetik	3021	132.97	3	2
luzea	3016	132.75	3	11
semea	3011	132.53	3	11
ate	3010	132.49	2	16
