data,label,freq,split,len
modestia,ESP,3.74094,train,8
primavera,ESP,4.606451,train,9
caco,ESP,2.645309,train,4
moderada,ESP,3.7866199999999997,train,8
etarra,ESP,3.698726,train,6
honradez,ESP,3.613517,train,8
amen,ESP,3.6603730000000003,train,4
viso,ESP,3.184791,train,4
barrer,ESP,3.286287,train,6
lego,ESP,3.269925,train,4
impureza,ESP,2.957375,train,8
dehiscente,ESP,2.398261,train,10
vadear,ESP,2.6936139999999997,train,6
algodon,ESP,4.151456,train,7
probatorio,ESP,2.8991599999999997,train,10
escultor,ESP,4.099369,train,8
anorexia,ESP,3.2054970000000003,train,8
plazo,ESP,5.021846,train,5
devastar,ESP,2.615573,train,8
alla,ESP,5.085187,train,4
narrador,ESP,3.930403,train,8
cautivo,ESP,3.61694,train,7
madurez,ESP,4.0474440000000005,train,7
cuantioso,ESP,2.553163,train,9
tenaza,ESP,2.747298,train,6
oblongo,ESP,2.446268,train,7
viceconsul,ESP,2.537076,train,10
carbonato,ESP,3.130864,train,9
guardar,ESP,4.237028,train,7
paralizar,ESP,3.407745,train,9
perra,ESP,3.3715089999999996,train,5
deseoso,ESP,3.490407,train,7
flauta,ESP,3.890713,train,6
ajustador,ESP,2.8716060000000003,train,9
estrada,ESP,3.7612129999999997,train,7
avariento,ESP,2.946339,train,9
venerar,ESP,2.91317,train,7
diurno,ESP,3.206375,train,6
reposar,ESP,3.3226739999999997,train,7
rebusca,ESP,2.451289,train,7
trascurso,ESP,2.615573,train,9
agresivo,ESP,3.7331839999999996,train,8
resguardo,ESP,3.3721080000000003,train,9
santidad,ESP,3.799572,train,8
violento,ESP,4.077736,train,8
panama,ESP,4.394636,train,6
diseccion,ESP,2.928411,train,9
castana,ESP,2.90971,train,7
seriamente,ESP,4.203382,train,10
boleto,ESP,3.3013510000000004,train,6
virtual,ESP,4.186998,train,7
maestrazgo,ESP,3.102835,train,10
estudioso,ESP,3.5160910000000003,train,9
campeona,ESP,3.8066769999999996,train,8
roseta,ESP,2.997492,train,6
retraido,ESP,2.879126,train,8
laminado,ESP,2.928411,train,8
mayusculo,ESP,2.579956,train,9
baltico,ESP,3.92339,train,7
bizantino,ESP,3.8510230000000005,train,9
periquito,ESP,2.537076,train,9
menu,ESP,3.585488,train,4
vitalicio,ESP,3.6560330000000003,train,9
exponer,ESP,4.13388,train,7
escapo,ESP,2.723958,train,6
adrian,ESP,3.646584,train,6
lanudo,ESP,2.4308490000000003,train,6
modisto,ESP,2.41486,train,7
proscribir,ESP,2.480253,train,10
margen,ESP,4.693013,train,6
anca,ESP,2.664059,train,4
amado,ESP,4.211001,train,5
bachata,ESP,2.615573,train,7
blasfemo,ESP,2.790524,train,8
sinrazon,ESP,3.001729,train,8
raquitismo,ESP,2.572468,train,10
pacho,ESP,3.106163,train,5
dulcinea,ESP,3.2497580000000004,train,8
detritus,ESP,2.537076,train,8
explotar,ESP,4.045415,train,8
actividad,ESP,5.1745470000000005,train,9
parametro,ESP,3.5292209999999997,train,9
lato,ESP,2.7859279999999997,train,4
bombear,ESP,2.679087,train,7
anunciar,ESP,4.093265,train,8
duarte,ESP,3.7447660000000003,train,6
glosario,ESP,3.14926,train,8
sacrificar,ESP,3.7962010000000004,train,10
concejalia,ESP,2.817122,train,10
legajo,ESP,2.7859279999999997,train,6
aislado,ESP,3.9907690000000002,train,7
cantico,ESP,3.337196,train,7
chocolate,ESP,4.161786,train,9
reunion,ESP,5.059876999999999,train,7
desayuno,ESP,3.8436019999999997,train,8
intrusa,ESP,2.62236,train,7
exquisito,ESP,3.5617629999999996,train,9
casacion,ESP,4.180156,train,8
cortical,ESP,2.825637,train,8
marxismo,ESP,3.7997959999999997,train,8
ensayo,ESP,4.413773,train,6
deferencia,ESP,3.126667,train,10
digestivo,ESP,3.502553,train,9
caja,ESP,4.711799,train,4
piscina,ESP,4.016513,train,7
programa,ESP,5.391004,train,8
panegirico,ESP,2.788232,train,10
presumir,ESP,3.498989,train,8
silueta,ESP,3.651649,train,7
tueste,ESP,2.480253,train,6
exposito,ESP,2.8697049999999997,train,8
afiliacion,ESP,3.465046,train,10
cimarron,ESP,4.112525,train,8
jondo,ESP,2.734486,train,5
fasto,ESP,2.398261,train,5
remanente,ESP,3.311111,train,9
espejismo,ESP,3.825848,train,9
travesano,ESP,2.767042,train,9
farola,ESP,2.710427,train,6
ralentizar,ESP,2.788232,train,10
ventriculo,ESP,2.84015,train,10
valentia,ESP,3.873498,train,8
quique,ESP,3.3908660000000004,train,6
pandeo,ESP,2.4894939999999997,train,6
ambrosia,ESP,2.6421040000000002,train,8
hornada,ESP,2.6189810000000002,train,7
instalar,ESP,3.976409,train,8
deshonrar,ESP,2.516091,train,9
rescindir,ESP,2.8462240000000003,train,9
repulsivo,ESP,2.933374,train,9
estiercol,ESP,3.4049769999999997,train,9
probador,ESP,2.6421040000000002,train,8
compatible,ESP,4.02003,train,10
desove,ESP,2.572468,train,6
apilar,ESP,2.4308490000000003,train,6
silvestre,ESP,4.021913,train,9
frutal,ESP,2.648491,train,6
denodado,ESP,2.524608,train,8
maternal,ESP,3.392584,train,8
inercia,ESP,3.66741,train,7
degradado,ESP,3.1984060000000003,train,9
can,ESP,4.236946,train,3
morfina,ESP,3.086958,train,7
hada,ESP,3.393725,train,4
trebol,ESP,3.183868,train,6
mendrugo,ESP,2.5945549999999997,train,8
culto,ESP,4.525869999999999,train,5
equipo,ESP,5.451589,train,6
componente,ESP,4.272419,train,10
hostilidad,ESP,3.738628,train,10
danar,ESP,3.587682,train,5
estroma,ESP,2.441189,train,7
tormento,ESP,3.779177,train,8
inmerso,ESP,3.476972,train,7
fantasma,ESP,4.164016,train,8
intimo,ESP,4.025653,train,6
subdito,ESP,3.1149139999999997,train,7
parroquial,ESP,4.180994,train,10
madrileno,ESP,4.114264,train,9
hiena,ESP,2.941522,train,5
sotano,ESP,3.715347,train,6
hidroxido,ESP,2.969652,train,9
sociable,ESP,3.1482580000000002,train,8
pesquero,ESP,3.9469769999999995,train,8
piropo,ESP,2.664059,train,6
vacuno,ESP,3.8828379999999996,train,6
paraiso,ESP,4.289124,train,7
cereal,ESP,3.48072,train,6
comun,ESP,5.347391,train,5
selectivo,ESP,3.386831,train,9
obedecer,ESP,3.8488300000000004,train,8
taoismo,ESP,2.890168,train,7
goda,ESP,2.59813,train,4
friolento,ESP,2.731878,train,9
patentar,ESP,2.907969,train,8
parentela,ESP,2.926744,train,9
italica,ESP,3.3449169999999997,train,7
censurar,ESP,3.186631,train,8
obstinado,ESP,3.247369,train,9
almohada,ESP,3.613173,train,8
advocacion,ESP,3.490407,train,10
terciario,ESP,3.533786,train,9
ostrogodo,ESP,2.524608,train,9
estrepito,ESP,3.549993,train,9
difunta,ESP,3.314544,train,7
cornear,ESP,3.000321,train,7
auge,ESP,4.0982449999999995,train,4
amplisimo,ESP,2.8128,train,9
orador,ESP,4.096214,train,6
sinapsis,ESP,2.886518,train,8
efectista,ESP,2.4894939999999997,train,9
instruir,ESP,3.2913669999999997,train,8
moceton,ESP,2.557093,train,7
alarmismo,ESP,2.564848,train,9
dentro,ESP,5.536256,train,6
buena,ESP,5.303517,train,5
barberia,ESP,2.767042,train,8
berrocal,ESP,2.767042,train,8
vulva,ESP,2.938281,train,5
palmera,ESP,3.484436,train,7
perversion,ESP,3.292807,train,10
alhondiga,ESP,2.528804,train,9
evitable,ESP,2.590951,train,8
sula,ESP,3.11383,train,4
pea,ESP,2.914891,train,3
trol,ESP,2.425585,train,4
monastico,ESP,2.6516490000000004,train,9
zaragozano,ESP,3.318628,train,10
explicar,ESP,4.638907,train,8
domingo,ESP,5.10358,train,7
humanismo,ESP,3.6728379999999996,train,9
panoramica,ESP,3.4344959999999998,train,10
atrevida,ESP,3.2781830000000003,train,8
capellania,ESP,2.676123,train,10
maldad,ESP,3.872174,train,6
patronazgo,ESP,2.880986,train,10
fraude,ESP,4.380532,train,6
tendencia,ESP,4.691092,train,9
galo,ESP,3.690171,train,4
dadaismo,ESP,2.532959,train,8
casta,ESP,3.926075,train,5
acreditar,ESP,3.4334569999999998,train,9
simpleza,ESP,2.991777,train,8
enunciar,ESP,3.027644,train,8
dote,ESP,3.731355,train,4
comadrona,ESP,2.664059,train,9
obelisco,ESP,3.369705,train,8
vendedor,ESP,3.9350160000000005,train,8
formalismo,ESP,3.0470639999999998,train,10
invectiva,ESP,2.4308490000000003,train,9
comida,ESP,4.698444,train,6
incubadora,ESP,2.654785,train,10
concitar,ESP,2.425585,train,8
magma,ESP,3.2227330000000003,train,5
desbancar,ESP,2.831916,train,9
angelino,ESP,2.6936139999999997,train,8
armino,ESP,2.911444,train,6
deleitable,ESP,2.403865,train,10
anexionar,ESP,2.579956,train,9
lobato,ESP,2.880986,train,6
mellado,ESP,2.943134,train,7
hipotesis,ESP,4.512291,train,9
estratego,ESP,2.425585,train,9
dinamia,ESP,2.75232,train,7
glucogeno,ESP,2.8462240000000003,train,9
chapoteo,ESP,2.702102,train,8
motel,ESP,3.059545,train,5
limar,ESP,2.907969,train,5
mejicana,ESP,2.797327,train,8
salvador,ESP,4.695837,train,8
ceba,ESP,2.749816,train,4
embajada,ESP,4.2032940000000005,train,8
trienio,ESP,3.1782880000000002,train,7
inmadurez,ESP,2.7076700000000002,train,9
chillona,ESP,2.817122,train,8
tato,ESP,2.902705,train,4
tobillo,ESP,3.61283,train,7
convulso,ESP,2.801805,train,8
espantada,ESP,3.143214,train,9
imprimir,ESP,3.7175160000000003,train,8
minusvalia,ESP,2.865879,train,10
soez,ESP,2.7694490000000003,train,4
belicista,ESP,2.441189,train,9
pescuezo,ESP,3.737596,train,8
hambre,ESP,4.670765,train,6
motu,ESP,2.856163,train,4
aleatorio,ESP,3.3152269999999997,train,9
puritano,ESP,2.825637,train,8
hache,ESP,3.000321,train,5
rabi,ESP,2.893787,train,4
sitial,ESP,2.95425,train,6
repatriar,ESP,2.993213,train,9
pinata,ESP,2.7370799999999997,train,6
adorar,ESP,3.376874,train,6
facil,ESP,4.91441,train,5
sopera,ESP,2.4093970000000002,train,6
platillo,ESP,3.376874,train,8
mocedad,ESP,2.842184,train,7
novel,ESP,3.43914,train,5
exencion,ESP,3.6938989999999996,train,8
sanguineo,ESP,3.52587,train,9
demostrar,ESP,4.6038239999999995,train,9
merino,ESP,3.6695290000000003,train,6
cortada,ESP,3.6761230000000005,train,7
lubricante,ESP,2.778942,train,10
oratorio,ESP,3.631686,train,8
overo,ESP,2.904467,train,5
propano,ESP,2.963556,train,7
repoblador,ESP,2.386831,train,10
inutilidad,ESP,3.2489630000000003,train,10
ofertar,ESP,2.524608,train,7
repujado,ESP,2.537076,train,8
tetraedro,ESP,2.810623,train,9
elegir,ESP,4.554031,train,6
rezar,ESP,3.692183,train,5
migrar,ESP,2.865879,train,6
papilla,ESP,2.676123,train,7
meneo,ESP,2.441189,train,5
realizable,ESP,2.900936,train,10
retrogrado,ESP,2.8214,train,10
apetitoso,ESP,2.576228,train,9
incultura,ESP,2.537076,train,9
fundidor,ESP,2.441189,train,8
conducta,ESP,4.649662,train,8
celosa,ESP,3.3449169999999997,train,6
contagio,ESP,3.609374,train,8
lengueta,ESP,2.862018,train,8
femenil,ESP,2.817122,train,7
genetista,ESP,2.629041,train,9
invisible,ESP,4.145642,train,9
moza,ESP,3.521646,train,4
preocupar,ESP,3.326683,train,9
lealmente,ESP,2.873498,train,9
gluten,ESP,2.804026,train,6
alfabetico,ESP,3.176412,train,10
asaz,ESP,3.142198,train,4
ama,ESP,4.3666220000000004,train,3
plebeyo,ESP,3.079972,train,7
predicador,ESP,3.516521,train,10
mullida,ESP,2.4894939999999997,train,7
violeta,ESP,3.955346,train,7
chocar,ESP,3.5895010000000003,train,6
recortar,ESP,3.608333,train,8
boutique,ESP,2.726614,train,8
gripe,ESP,3.920349,train,5
laso,ESP,2.799572,train,4
demorar,ESP,3.066865,train,7
altruista,ESP,3.14118,train,9
cate,ESP,2.972668,train,4
sutilmente,ESP,3.038109,train,10
reverso,ESP,3.5463989999999996,train,7
duena,ESP,4.080089,train,5
lidiar,ESP,3.471765,train,6
norcoreano,ESP,2.8214,train,10
estaca,ESP,3.236046,train,6
pastiche,ESP,2.8772580000000003,train,8
meningitis,ESP,3.102835,train,10
odre,ESP,2.4755580000000004,train,4
expiatorio,ESP,3.136052,train,10
carril,ESP,3.647539,train,6
simetria,ESP,3.7226230000000005,train,8
depurado,ESP,2.902705,train,8
endogeno,ESP,2.6936139999999997,train,8
soldador,ESP,2.403865,train,8
preludio,ESP,3.555132,train,8
irrupcion,ESP,3.565233,train,9
correa,ESP,3.900582,train,6
vocalista,ESP,4.1197610000000005,train,9
desenredar,ESP,2.507405,train,10
iluminar,ESP,3.372707,train,8
carpe,ESP,2.549197,train,5
pirana,ESP,2.90971,train,6
encantado,ESP,3.8654940000000004,train,9
agredir,ESP,3.2210400000000003,train,7
trampilla,ESP,2.576228,train,9
ulceracion,ESP,2.441189,train,10
baluarte,ESP,3.393155,train,8
agronomia,ESP,3.059545,train,9
porcelana,ESP,3.515661,train,9
primado,ESP,3.272946,train,7
campana,ESP,4.074063,train,7
brujula,ESP,3.331314,train,7
atractivo,ESP,4.214028,train,9
oferta,ESP,4.661605000000001,train,6
anverso,ESP,3.25528,train,7
antipoda,ESP,2.484897,train,8
enloquecer,ESP,2.84823,train,10
adriatico,ESP,3.244967,train,9
solvencia,ESP,3.489494,train,9
bendecir,ESP,3.140159,train,8
mafia,ESP,3.775406,train,5
nitrato,ESP,3.289921,train,7
amargo,ESP,3.87894,train,6
taxonomico,ESP,2.731878,train,10
complicar,ESP,3.3097300000000005,train,9
anexo,ESP,4.06759,train,5
ternario,ESP,2.420255,train,8
erotico,ESP,3.498989,train,7
tino,ESP,3.570955,train,4
necrosis,ESP,2.911444,train,8
inverso,ESP,3.6707349999999996,train,7
sobredicho,ESP,2.451289,train,10
peripecia,ESP,3.0087,train,9
sigma,ESP,3.4191809999999996,train,5
reseco,ESP,2.5117700000000003,train,6
tenida,ESP,3.2615060000000002,train,6
dentista,ESP,3.180156,train,8
germana,ESP,3.2906449999999996,train,7
platense,ESP,3.236046,train,8
revolver,ESP,3.327348,train,8
expiar,ESP,2.8991599999999997,train,6
hispanista,ESP,3.258404,train,10
religiosa,ESP,4.569208000000001,train,9
bela,ESP,3.244164,train,4
fax,ESP,3.735785,train,3
historia,ESP,5.704154,train,8
previsora,ESP,2.648491,train,9
confitura,ESP,2.375093,train,9
alarido,ESP,3.058313,train,7
cubrir,ESP,4.298238,train,6
cenaculo,ESP,2.568674,train,8
conque,ESP,3.7819830000000003,train,6
retardado,ESP,2.734486,train,9
longevo,ESP,2.696461,train,7
opcion,ESP,4.565617,train,6
soslayo,ESP,3.069277,train,7
antipatico,ESP,2.993213,train,10
mediador,ESP,3.683789,train,8
machacar,ESP,3.0329080000000004,train,8
zambra,ESP,2.484897,train,6
arrasar,ESP,3.026318,train,7
formar,ESP,4.841208999999999,train,6
somontano,ESP,2.676123,train,9
propenso,ESP,3.094969,train,8
adoptar,ESP,4.707061,train,7
encubierto,ESP,3.282622,train,10
agregada,ESP,3.142198,train,8
sucursal,ESP,3.4266419999999997,train,8
camba,ESP,2.8235240000000004,train,5
levantado,ESP,4.096779,train,9
estornudar,ESP,2.507405,train,10
hidrogeno,ESP,4.049967,train,9
protector,ESP,4.036036,train,9
hematoma,ESP,2.648491,train,8
desnudo,ESP,4.0531,train,7
inmemorial,ESP,3.102835,train,10
pavada,ESP,3.0368150000000003,train,6
autista,ESP,2.744766,train,7
redencion,ESP,3.637577,train,9
lechon,ESP,2.5945549999999997,train,6
segoviano,ESP,2.7076700000000002,train,9
parodia,ESP,3.9289099999999997,train,7
inaudible,ESP,2.757283,train,9
reparacion,ESP,4.012829,train,10
estuche,ESP,3.2497580000000004,train,7
accionado,ESP,2.690747,train,9
sinnumero,ESP,3.1782880000000002,train,9
zombi,ESP,2.879126,train,5
manchado,ESP,3.3423589999999996,train,8
aduana,ESP,3.7051730000000003,train,6
bloque,ESP,4.429171,train,6
demagogia,ESP,3.363028,train,9
salvacion,ESP,4.195807,train,9
intimacion,ESP,2.549197,train,10
corbata,ESP,3.716161,train,7
sincronico,ESP,2.7076700000000002,train,10
prolijidad,ESP,3.024988,train,10
capelo,ESP,2.532959,train,6
ligada,ESP,3.891438,train,6
vastedad,ESP,2.545193,train,8
pitada,ESP,2.420255,train,6
medianoche,ESP,3.988167,train,10
atlante,ESP,3.3013510000000004,train,7
impetuoso,ESP,3.335896,train,9
sonsonete,ESP,2.386831,train,9
forma,ESP,5.849892,train,5
topologia,ESP,3.485821,train,9
bardo,ESP,3.161105,train,5
actuar,ESP,4.755205,train,6
patron,ESP,4.487524,train,6
imitado,ESP,3.061998,train,7
vascuence,ESP,2.827741,train,9
tabla,ESP,4.532214,train,5
melero,ESP,2.629041,train,6
conico,ESP,3.0329080000000004,train,6
pira,ESP,3.145239,train,4
piratear,ESP,2.4308490000000003,train,8
corrida,ESP,3.798227,train,7
padrino,ESP,3.779646,train,7
despegar,ESP,3.52713,train,8
gustoso,ESP,3.159153,train,7
grasiento,ESP,2.6421040000000002,train,9
paraguayo,ESP,3.7870809999999997,train,9
encogido,ESP,3.0811439999999997,train,8
apure,ESP,3.156209,train,5
ensamblar,ESP,2.767042,train,9
potosi,ESP,3.8112769999999996,train,6
higiene,ESP,3.838311,train,7
lenguaje,ESP,4.845761,train,8
relumbrar,ESP,2.742219,train,9
mameluco,ESP,2.446268,train,8
mariano,ESP,4.4457629999999995,train,7
cornudo,ESP,2.747298,train,7
destronar,ESP,2.704895,train,9
procesado,ESP,3.9133430000000002,train,9
terrero,ESP,2.645309,train,7
corchete,ESP,2.41486,train,8
franquear,ESP,3.1782880000000002,train,9
abono,ESP,3.640169,train,5
soplon,ESP,2.470812,train,6
romanico,ESP,3.770886,train,8
grunir,ESP,3.018275,train,6
lituana,ESP,2.836052,train,7
monte,ESP,4.749062,train,5
encinta,ESP,2.8697049999999997,train,7
menguada,ESP,2.6051919999999997,train,8
calavera,ESP,3.481186,train,8
paya,ESP,2.456252,train,4
nominal,ESP,3.92339,train,7
boliviana,ESP,3.6260470000000002,train,9
faringe,ESP,2.906222,train,7
celia,ESP,3.67642,train,5
asistenta,ESP,2.801805,train,9
suplica,ESP,3.4664949999999997,train,7
sugerir,ESP,3.765108,train,7
tojo,ESP,2.386831,train,4
recurrente,ESP,4.1943660000000005,train,10
montado,ESP,3.896124,train,7
gasista,ESP,2.723958,train,7
incoloro,ESP,2.960476,train,8
prosperar,ESP,3.548399,train,9
despegado,ESP,2.893787,train,9
mola,ESP,3.268406,train,4
roya,ESP,2.537076,train,4
rotacion,ESP,4.036684999999999,train,8
concepcion,ESP,4.696405,train,10
aleteo,ESP,3.050846,train,6
erotica,ESP,3.467939,train,7
sindico,ESP,3.145239,train,7
banar,ESP,2.930071,train,5
motivar,ESP,3.2529220000000003,train,7
refrigerar,ESP,2.425585,train,10
exaltar,ESP,3.018275,train,7
neciamente,ESP,2.4093970000000002,train,10
breviario,ESP,2.972668,train,9
pecho,ESP,4.657122,train,5
protesico,ESP,2.381001,train,9
gusano,ESP,3.75207,train,6
invencion,ESP,4.0834790000000005,train,9
farolillo,ESP,2.456252,train,9
carnear,ESP,2.831916,train,7
folleto,ESP,3.5423699999999996,train,7
tirante,ESP,3.211608,train,7
acostada,ESP,3.0196259999999997,train,8
cobranza,ESP,2.897376,train,8
andante,ESP,3.3965650000000003,train,7
zancada,ESP,2.568674,train,7
serrano,ESP,4.13305,train,7
armonica,ESP,3.6391989999999996,train,8
extender,ESP,4.1197610000000005,train,8
culminante,ESP,3.45079,train,10
apical,ESP,2.930071,train,6
rus,ESP,3.727936,train,3
acento,ESP,4.2306870000000005,train,6
purismo,ESP,2.625714,train,7
coagulo,ESP,2.726614,train,7
agradecida,ESP,3.47885,train,10
fantasia,ESP,4.257313,train,8
quiniela,ESP,2.856163,train,8
perone,ESP,2.806236,train,6
consolador,ESP,2.963556,train,10
enemistad,ESP,3.4949449999999995,train,9
mortal,ESP,4.367713,train,6
faldon,ESP,2.6189810000000002,train,6
abanico,ESP,3.8516190000000003,train,7
mutis,ESP,3.2505509999999997,train,5
pension,ESP,4.085338,train,7
comodin,ESP,2.9250700000000003,train,7
estas,ESP,5.688052,train,5
gueto,ESP,3.247369,train,5
sujeto,ESP,4.605087,train,6
libertad,ESP,5.290124,train,8
ortodoncia,ESP,2.441189,train,10
disturbio,ESP,2.629041,train,9
portalon,ESP,2.625714,train,8
extremista,ESP,3.2774389999999998,train,10
trufa,ESP,2.6051919999999997,train,5
valioso,ESP,3.943455,train,7
almeja,ESP,2.946339,train,6
remocion,ESP,3.2368650000000003,train,8
caperuza,ESP,2.386831,train,8
complexion,ESP,3.069277,train,10
mesurado,ESP,2.799572,train,8
expectante,ESP,3.077618,train,10
chupar,ESP,3.576976,train,6
demonio,ESP,4.2364559999999996,train,7
ionosfera,ESP,2.494042,train,9
desacato,ESP,3.0632200000000003,train,8
predio,ESP,3.46553,train,6
arrogante,ESP,3.6661940000000004,train,9
fatidico,ESP,3.093833,train,8
flotador,ESP,2.461161,train,8
demandante,ESP,3.6849559999999997,train,10
renegar,ESP,3.30765,train,7
combo,ESP,3.165947,train,5
dureza,ESP,4.042226,train,6
estirpe,ESP,3.5321309999999997,train,7
terminal,ESP,4.2569230000000005,train,8
regulador,ESP,3.7962010000000004,train,9
cuan,ESP,3.443228,train,4
presto,ESP,3.780582,train,6
cepa,ESP,3.4126830000000004,train,4
tasca,ESP,2.4660130000000002,train,5
amarilis,ESP,2.502996,train,8
erudito,ESP,3.651964,train,7
parasol,ESP,2.470812,train,7
agrio,ESP,3.215921,train,5
armeria,ESP,3.061998,train,7
formulario,ESP,3.231101,train,10
automatico,ESP,3.905871,train,10
esteta,ESP,2.403865,train,6
gaitero,ESP,2.7836119999999998,train,7
cristal,ESP,4.409892,train,7
artificio,ESP,3.555132,train,9
mayor,ESP,5.836965,train,5
conjurado,ESP,2.764623,train,9
tectonica,ESP,3.0632200000000003,train,9
chimenea,ESP,3.915577,train,8
dolido,ESP,3.038109,train,6
oregano,ESP,2.888347,train,7
sosegar,ESP,2.590951,train,7
cazo,ESP,2.9250700000000003,train,4
fotocopia,ESP,3.096101,train,9
nodo,ESP,3.718056,train,4
argolla,ESP,3.498989,train,7
reparar,ESP,3.9657,train,7
alavesa,ESP,3.2789260000000002,train,7
capitel,ESP,3.058313,train,7
tiberio,ESP,3.510901,train,7
dengue,ESP,2.804026,train,6
paradojico,ESP,3.394864,train,10
este,ESP,6.3599120000000005,train,4
sondear,ESP,2.974168,train,7
repudio,ESP,3.252133,train,7
roscado,ESP,2.4660130000000002,train,7
editora,ESP,3.6867019999999995,train,7
portico,ESP,3.7117989999999996,train,7
limitacion,ESP,4.070958,train,10
trementina,ESP,2.568674,train,10
intendente,ESP,3.78915,train,10
admiradora,ESP,2.702102,train,10
gimnasta,ESP,3.0972310000000003,train,8
puntera,ESP,2.6731380000000002,train,7
reuma,ESP,2.553163,train,5
ratificar,ESP,3.7247559999999997,train,9
cubismo,ESP,3.2089990000000004,train,7
aragones,ESP,4.02003,train,8
axioma,ESP,3.346826,train,6
sepelio,ESP,2.879126,train,7
requiem,ESP,3.2261,train,7
matanza,ESP,4.190653,train,7
repique,ESP,2.833989,train,7
linaza,ESP,2.456252,train,6
botero,ESP,3.375688,train,6
boicotear,ESP,3.121364,train,9
opa,ESP,3.7621900000000004,train,3
fardo,ESP,3.010081,train,5
frances,ESP,5.190043,train,7
glorioso,ESP,3.651334,train,8
inquirir,ESP,2.879126,train,8
notario,ESP,3.7268790000000003,train,7
vencedora,ESP,3.204617,train,9
escasa,ESP,4.389487,train,6
crispacion,ESP,3.3206559999999996,train,10
ciudadana,ESP,4.135536,train,9
sega,ESP,3.725288,train,4
aspar,ESP,2.403865,train,5
clerigo,ESP,3.7490620000000003,train,7
apropiado,ESP,4.137597,train,9
interprete,ESP,4.081494999999999,train,10
deficit,ESP,4.408407,train,7
relevo,ESP,3.830668,train,6
bruces,ESP,3.109465,train,6
intensivo,ESP,3.42875,train,9
brigadier,ESP,3.593837,train,9
tercera,ESP,5.04455,train,7
artilleria,ESP,4.222987,train,10
epistola,ESP,3.554739,train,8
gregoriano,ESP,3.52713,train,10
mancebia,ESP,2.4093970000000002,train,8
obsceno,ESP,3.00453,train,7
cuadrar,ESP,2.797327,train,7
burro,ESP,4.069157,train,5
igualada,ESP,3.3792379999999995,train,8
dinamico,ESP,3.7730330000000003,train,8
doscientos,ESP,3.8417779999999997,train,10
subrayar,ESP,4.272946,train,8
alameda,ESP,3.674633,train,7
rapina,ESP,3.5241849999999997,train,6
hueste,ESP,3.244967,train,6
norma,ESP,4.600438,train,5
preescolar,ESP,3.236046,train,10
fluvial,ESP,3.7845400000000002,train,7
crin,ESP,2.8462240000000003,train,4
mester,ESP,2.579956,train,6
propiciar,ESP,3.5743519999999998,train,9
