data,label,split,freq,len
actual,ESP,train,5.368087999999999,6
mareo,ESP,train,3.129818,5
olfatear,ESP,train,2.520371,8
cilicio,ESP,train,2.520371,7
profecia,ESP,train,3.68583,8
bisuteria,ESP,train,2.5945549999999997,9
erratico,ESP,train,2.744766,8
perfil,ESP,train,4.311111,6
coercitivo,ESP,train,2.583652,10
inducir,ESP,train,3.587682,7
aragon,ESP,train,4.674005999999999,6
trotar,ESP,train,2.61214,6
orin,ESP,train,2.61214,4
reseco,ESP,train,2.5117700000000003,6
rellano,ESP,train,2.9558150000000003,7
mora,ESP,train,4.217976,4
infante,ESP,train,4.03798,7
hablador,ESP,train,2.893787,8
valle,ESP,train,4.967999,5
paleoceno,ESP,train,2.572468,9
baloncesto,ESP,train,4.445004,10
montanoso,ESP,train,3.5806980000000004,9
eden,ESP,train,3.458222,4
noble,ESP,train,4.5747279999999995,5
ilicitana,ESP,train,2.386831,9
foton,ESP,train,3.035517,5
butron,ESP,train,2.545193,6
expensas,ESP,train,3.712621,8
corazonada,ESP,train,2.5117700000000003,10
cerca,ESP,train,5.329395,5
modulo,ESP,train,3.994929,6
longa,ESP,train,2.713167,5
apero,ESP,train,2.564848,5
homonimo,ESP,train,3.8768839999999996,8
siderurgia,ESP,train,3.0728720000000003,10
claro,ESP,train,5.218846,5
sansa,ESP,train,2.375093,5
falto,ESP,train,3.46553,5
oido,ESP,train,4.5278,4
animalidad,ESP,train,2.6878610000000003,10
demagogica,ESP,train,2.541153,10
naturista,ESP,train,2.494042,9
resultado,ESP,train,5.247896,9
exposicion,ESP,train,4.762751000000001,10
marine,ESP,train,3.324015,6
colegio,ESP,train,4.813169,7
agasajo,ESP,train,2.814966,7
hertz,ESP,train,2.852214,5
comienzo,ESP,train,4.734278,8
farmacopea,ESP,train,2.625714,10
ahogar,ESP,train,3.330656,6
jilguero,ESP,train,2.7370799999999997,8
rosa,ESP,train,4.777319,4
raso,ESP,train,3.6664980000000003,4
cigoto,ESP,train,2.6936139999999997,6
acosador,ESP,train,2.43605,8
indecible,ESP,train,3.3048620000000004,9
espantar,ESP,train,3.049589,8
zonza,ESP,train,2.754808,5
belcebu,ESP,train,2.5117700000000003,7
liderato,ESP,train,3.621011,8
cacique,ESP,train,3.9135150000000003,7
cueva,ESP,train,4.571523,5
hija,ESP,train,5.0970949999999995,4
canaria,ESP,train,4.259725,7
remera,ESP,train,2.41486,6
reveladora,ESP,train,2.965088,10
carrera,ESP,train,5.203196,7
bela,ESP,train,3.244164,4
agudamente,ESP,train,2.7621900000000004,10
introducir,ESP,train,4.499838,10
mapamundi,ESP,train,2.6878610000000003,9
carrona,ESP,train,2.8697049999999997,7
solar,ESP,train,4.550072,5
desvelar,ESP,train,3.3226739999999997,8
chiquita,ESP,train,3.3159089999999996,8
silueta,ESP,train,3.651649,7
merced,ESP,train,4.387121,6
gastar,ESP,train,3.956907,6
aura,ESP,train,3.778002,4
torpeza,ESP,train,3.6695290000000003,7
asiduo,ESP,train,3.268406,6
victoriosa,ESP,train,3.293525,10
trapecista,ESP,train,2.420255,10
mantero,ESP,train,2.4308490000000003,7
chapin,ESP,train,2.747298,6
acudir,ESP,train,4.2908610000000005,6
detective,ESP,train,3.820761,9
andino,ESP,train,3.7646230000000003,6
decorado,ESP,train,3.678496,8
toreo,ESP,train,3.5012199999999996,5
hipotenusa,ESP,train,2.648491,10
podium,ESP,train,2.537076,6
ibero,ESP,train,2.788232,5
alli,ESP,train,5.514946,4
avivar,ESP,train,2.969652,6
sur,ESP,train,5.452147,3
preboste,ESP,train,2.8716060000000003,8
morera,ESP,train,2.998909,6
flamenco,ESP,train,4.173204,8
disimular,ESP,train,3.6938989999999996,9
planilla,ESP,train,2.545193,8
estera,ESP,train,2.931726,6
bizarria,ESP,train,2.806236,8
carromato,ESP,train,2.461161,9
sexo,ESP,train,4.585452,4
repunte,ESP,train,3.244967,7
llanura,ESP,train,4.234157,7
tau,ESP,train,3.7739839999999996,3
gula,ESP,train,3.049589,4
narracion,ESP,train,4.063951,9
intimista,ESP,train,3.038109,9
desocupado,ESP,train,3.175471,10
motilidad,ESP,train,2.461161,9
quesera,ESP,train,2.386831,7
vespertino,ESP,train,3.279668,10
amodorrado,ESP,train,2.831916,10
indecision,ESP,train,3.3599589999999995,10
indiscreto,ESP,train,2.921703,10
tocada,ESP,train,3.4175660000000003,6
nino,ESP,train,5.000307,4
maniaco,ESP,train,2.59813,7
raquideo,ESP,train,2.4755580000000004,8
estimulo,ESP,train,4.030547,8
recortar,ESP,train,3.608333,8
conmutador,ESP,train,2.814966,10
interpelar,ESP,train,2.852214,10
prisco,ESP,train,2.579956,6
agregada,ESP,train,3.142198,8
normalidad,ESP,train,4.0617540000000005,10
hita,ESP,train,2.983062,4
cerilla,ESP,train,2.938281,7
carcajada,ESP,train,3.697029,9
hojalata,ESP,train,3.090409,8
poderio,ESP,train,3.6270480000000003,7
necropolis,ESP,train,3.6404919999999996,10
natalicio,ESP,train,2.7621900000000004,9
evitable,ESP,train,2.590951,8
agitar,ESP,train,3.163048,6
hospedador,ESP,train,2.8716060000000003,10
serrano,ESP,train,4.13305,7
enseguida,ESP,train,4.212473999999999,9
europeista,ESP,train,3.007315,10
calentar,ESP,train,3.5858550000000005,8
torturar,ESP,train,3.108367,8
valar,ESP,train,3.269166,5
raquitismo,ESP,train,2.572468,10
apresurar,ESP,train,3.107266,9
epigrama,ESP,train,2.856163,8
hurto,ESP,train,3.2167779999999997,5
lombardo,ESP,train,3.2497580000000004,8
oleada,ESP,train,3.81475,6
eternizar,ESP,train,2.446268,9
sexta,ESP,train,4.164983,5
igualacion,ESP,train,2.9250700000000003,10
frecuentar,ESP,train,3.1482580000000002,10
rodero,ESP,train,2.446268,6
rubrica,ESP,train,3.064439,7
upa,ESP,train,3.163048,3
bernardo,ESP,train,4.35313,8
sujecion,ESP,train,3.480253,8
sovietico,ESP,train,4.102055,9
continuo,ESP,train,4.338362999999999,8
roda,ESP,train,3.279668,4
mentido,ESP,train,3.258404,7
reafirmar,ESP,train,3.5233410000000003,9
nepotismo,ESP,train,2.844209,9
reyezuelo,ESP,train,2.420255,9
pocima,ESP,train,2.583652,6
intuicion,ESP,train,3.9875870000000004,9
murciana,ESP,train,3.1581740000000003,8
matiz,ESP,train,3.589864,5
diputado,ESP,train,4.742551000000001,8
depuradora,ESP,train,2.836052,10
proteina,ESP,train,3.8108410000000004,8
concepto,ESP,train,4.980442,8
viable,ESP,train,3.9364879999999998,6
muslim,ESP,train,2.520371,6
veraniego,ESP,train,2.95425,9
mama,ESP,train,3.878566,4
moscada,ESP,train,2.744766,7
guarecer,ESP,train,2.392584,8
anonimato,ESP,train,3.585122,9
fastidio,ESP,train,3.447781,8
atropellar,ESP,train,3.085801,10
cantada,ESP,train,3.52545,7
tarea,ESP,train,4.838679,5
plano,ESP,train,4.771674,5
acebuche,ESP,train,2.632344,8
carrillo,ESP,train,3.8589050000000005,8
notacion,ESP,train,3.6578980000000003,8
marioneta,ESP,train,3.1975119999999997,9
montano,ESP,train,3.0368150000000003,7
marroqui,ESP,train,4.2358,8
fracasar,ESP,train,3.6494410000000004,8
molinete,ESP,train,2.381001,8
congreso,ESP,train,5.1450569999999995,8
sigilo,ESP,train,3.14926,6
esceptica,ESP,train,3.138111,9
movible,ESP,train,2.875382,7
sulfuro,ESP,train,2.960476,7
candidata,ESP,train,3.992639,9
disfrute,ESP,train,3.660681,8
trote,ESP,train,3.354379,5
espartero,ESP,train,3.187548,9
drogadicto,ESP,train,2.5873169999999996,10
miserere,ESP,train,3.000321,8
calidez,ESP,train,2.994644,7
novillada,ESP,train,2.988891,9
sacrosanto,ESP,train,2.6189810000000002,10
malaga,ESP,train,4.603753,6
decretar,ESP,train,3.286287,8
cupe,ESP,train,3.8828379999999996,4
referendo,ESP,train,3.754312,9
revoltoso,ESP,train,2.557093,9
celeridad,ESP,train,3.5743519999999998,9
redoblado,ESP,train,2.635621,9
propulsora,ESP,train,2.502996,10
ventana,ESP,train,4.618743,7
cuido,ESP,train,2.7370799999999997,5
generala,ESP,train,2.7765880000000003,8
proclama,ESP,train,3.956751,8
saludar,ESP,train,3.837901,7
alegar,ESP,train,3.3845089999999995,6
resarcir,ESP,train,2.6516490000000004,8
dolo,ESP,train,3.190289,4
reembolsar,ESP,train,2.572468,10
mondongo,ESP,train,2.8235240000000004,8
dogmatico,ESP,train,3.061998,9
laudo,ESP,train,3.112743,5
demasiado,ESP,train,5.150898000000001,9
fonda,ESP,train,3.5705760000000004,5
capitulo,ESP,train,4.857438,8
autonomia,ESP,train,4.575404,9
domar,ESP,train,3.156209,5
aplicado,ESP,train,4.195987000000001,8
filmar,ESP,train,3.328011,6
laurel,ESP,train,3.73083,6
justo,ESP,train,4.874798999999999,5
hipodromo,ESP,train,3.3423589999999996,9
finca,ESP,train,4.237927,5
anglosajon,ESP,train,3.483973,10
interponer,ESP,train,3.232756,10
empujar,ESP,train,3.4684190000000004,7
autorizar,ESP,train,3.731355,9
puebla,ESP,train,4.1844220000000005,6
che,ESP,train,4.125506,3
felicidad,ESP,train,4.531841,9
tallado,ESP,train,3.408296,7
textual,ESP,train,3.330656,7
idolatria,ESP,train,3.317271,9
parloteo,ESP,train,2.507405,8
cliche,ESP,train,2.778942,6
enmendar,ESP,train,3.3891410000000004,8
bachiller,ESP,train,3.625714,9
abonada,ESP,train,2.931726,7
jordan,ESP,train,3.5902269999999996,6
desplome,ESP,train,3.204617,8
degollar,ESP,train,3.256845,8
parta,ESP,train,3.14118,5
colorante,ESP,train,3.00453,9
tui,ESP,train,2.968136,3
gallinero,ESP,train,3.465046,9
noveno,ESP,train,3.8046900000000003,6
pancreas,ESP,train,3.2401240000000002,8
nazi,ESP,train,4.16266,4
silicato,ESP,train,2.484897,8
anuario,ESP,train,3.4684190000000004,7
potrillo,ESP,train,3.471765,8
soez,ESP,train,2.7694490000000003,4
confiscado,ESP,train,2.8214,10
sacudido,ESP,train,3.234404,8
aereo,ESP,train,4.2245040000000005,5
capellania,ESP,train,2.676123,10
escritora,ESP,train,4.121471,9
aguafuerte,ESP,train,2.532959,10
cobro,ESP,train,3.7562949999999997,5
mimado,ESP,train,3.00453,6
divorciado,ESP,train,3.1050560000000003,10
amoroso,ESP,train,3.753317,7
colina,ESP,train,4.162175,6
canal,ESP,train,4.993342,5
lactancia,ESP,train,3.235226,9
riza,ESP,train,2.654785,4
cuartel,ESP,train,4.311042,7
enzimatico,ESP,train,2.441189,10
funerario,ESP,train,3.403308,9
gusto,ESP,train,4.797417,5
pederasta,ESP,train,2.710427,9
belico,ESP,train,3.610414,6
ectodermo,ESP,train,2.545193,9
antiaereo,ESP,train,2.897376,9
ajustador,ESP,train,2.8716060000000003,9
prosista,ESP,train,2.541153,8
abigarrado,ESP,train,2.625714,10
llegar,ESP,train,5.312012999999999,6
aduana,ESP,train,3.7051730000000003,6
balanza,ESP,train,3.9227160000000003,7
obsesivo,ESP,train,3.015561,8
risco,ESP,train,3.3226739999999997,5
satisfecho,ESP,train,4.318018,10
mandinga,ESP,train,2.572468,8
ganado,ESP,train,4.764501999999999,6
arresto,ESP,train,3.949204,7
moraleja,ESP,train,3.3798269999999997,8
frenazo,ESP,train,2.757283,7
daza,ESP,train,3.0329080000000004,4
inventar,ESP,train,3.766801,8
clube,ESP,train,3.190289,5
somontano,ESP,train,2.676123,9
levitacion,ESP,train,2.810623,10
seta,ESP,train,3.106163,4
sonante,ESP,train,2.690747,7
reseccion,ESP,train,2.461161,9
engorde,ESP,train,3.0087,7
veleidad,ESP,train,2.446268,8
tutela,ESP,train,3.901645,6
adivino,ESP,train,3.292807,7
evacuacion,ESP,train,3.78175,10
patrullero,ESP,train,2.749816,10
menopausia,ESP,train,2.968136,10
quinientos,ESP,train,3.728464,10
paracaidas,ESP,train,3.3993870000000004,10
noticiero,ESP,train,3.443228,9
sopa,ESP,train,3.9088410000000002,4
dolencia,ESP,train,3.6267150000000004,8
pancho,ESP,train,3.4944940000000004,6
comunicado,ESP,train,4.606171,10
relacionar,ESP,train,3.6655849999999996,10
clemencia,ESP,train,3.812583,9
invierno,ESP,train,4.676747,8
sociologa,ESP,train,2.6051919999999997,9
masoquista,ESP,train,2.696461,10
carestia,ESP,train,3.020973,8
amplificar,ESP,train,2.742219,10
discoteca,ESP,train,3.5884110000000002,9
gaitero,ESP,train,2.7836119999999998,7
esclusa,ESP,train,2.865879,7
reprension,ESP,train,2.916604,10
robla,ESP,train,2.713167,5
claudia,ESP,train,3.820121,7
migrana,ESP,train,2.398261,7
dehesa,ESP,train,3.7048949999999996,6
dogma,ESP,train,3.811931,5
blancuzco,ESP,train,2.537076,9
carretela,ESP,train,2.532959,9
pistolero,ESP,train,2.926744,9
tul,ESP,train,2.8462240000000003,3
salon,ESP,train,4.523087,5
pretor,ESP,train,2.946339,6
mexicana,ESP,train,4.56481,8
seglar,ESP,train,2.928411,6
zaino,ESP,train,2.61214,5
frac,ESP,train,4.111435,4
maco,ESP,train,2.564848,4
chichimeca,ESP,train,2.4755580000000004,10
ser,ESP,train,6.218374,3
ambito,ESP,train,5.121791,6
harto,ESP,train,3.998767,5
raquitico,ESP,train,2.6516490000000004,9
parentesis,ESP,train,3.766318,10
petrel,ESP,train,2.774221,6
prepotente,ESP,train,2.916604,10
esternon,ESP,train,2.836052,8
guineana,ESP,train,2.537076,8
prendido,ESP,train,3.182016,8
preambulo,ESP,train,3.567912,9
limpidez,ESP,train,2.795071,8
sedante,ESP,train,2.808435,7
cerrajeria,ESP,train,2.4093970000000002,10
bolo,ESP,train,3.1571919999999998,4
tibetano,ESP,train,3.3537550000000005,8
patetico,ESP,train,3.226937,8
estribo,ESP,train,3.2167779999999997,7
hispana,ESP,train,3.825848,7
semanario,ESP,train,3.829625,9
ingenuidad,ESP,train,3.5391199999999996,10
instructor,ESP,train,3.7177860000000003,10
elaborar,ESP,train,4.386947,8
vibrante,ESP,train,3.5423699999999996,8
horca,ESP,train,3.511336,5
frescor,ESP,train,2.9250700000000003,7
ermita,ESP,train,4.406142,6
homosexual,ESP,train,3.8579269999999997,10
nocivo,ESP,train,3.183868,6
liderar,ESP,train,3.5869519999999997,7
cesion,ESP,train,3.8536,6
causar,ESP,train,4.231764,6
denticion,ESP,train,2.759743,9
bravo,ESP,train,4.224419999999999,5
romo,ESP,train,3.2142009999999996,4
mohoso,ESP,train,2.470812,6
venezolano,ESP,train,4.284971,10
servilleta,ESP,train,3.096101,10
catarro,ESP,train,2.66099,7
coyuntural,ESP,train,3.138111,10
frambuesa,ESP,train,2.6878610000000003,9
sombrerete,ESP,train,2.4093970000000002,10
globoso,ESP,train,2.524608,7
determinar,ESP,train,4.601145,10
apoteosico,ESP,train,2.470812,10
perturbar,ESP,train,3.256063,9
treinta,ESP,train,4.55924,7
calumnia,ESP,train,3.4016319999999998,8
cajista,ESP,train,2.4755580000000004,7
bocado,ESP,train,3.6273809999999997,6
ayudante,ESP,train,4.0891470000000005,8
posdata,ESP,train,2.528804,7
zarzuela,ESP,train,3.7260839999999997,8
marchar,ESP,train,3.970106,7
residente,ESP,train,3.9174580000000003,9
pedagogo,ESP,train,3.3193050000000004,8
vate,ESP,train,2.549197,4
condon,ESP,train,2.914891,6
canonjia,ESP,train,2.498542,8
elipsis,ESP,train,2.933374,7
tomadura,ESP,train,2.451289,8
compulsion,ESP,train,2.726614,10
mozo,ESP,train,4.059176,4
reeleccion,ESP,train,3.8275309999999996,10
mezclador,ESP,train,2.629041,9
retratar,ESP,train,3.1782880000000002,8
anticuario,ESP,train,3.028966,10
pabulo,ESP,train,2.778942,6
hidalgo,ESP,train,4.145137999999999,7
cerco,ESP,train,3.9424900000000003,5
encallar,ESP,train,2.4093970000000002,8
convalidar,ESP,train,2.451289,10
higuera,ESP,train,3.411043,7
antepecho,ESP,train,2.682032,9
ejecutivo,ESP,train,4.853976,9
halcon,ESP,train,3.73083,6
calabaza,ESP,train,3.4250540000000003,8
autentico,ESP,train,4.291222,9
pedregoso,ESP,train,2.941522,9
rememorar,ESP,train,2.8991599999999997,9
musulmana,ESP,train,4.053225,9
refinado,ESP,train,3.550787,8
seleccion,ESP,train,4.979349,9
recamara,ESP,train,2.988891,8
arrollar,ESP,train,2.568674,8
monasterio,ESP,train,4.500864,10
pivot,ESP,train,3.713167,5
externado,ESP,train,2.441189,9
barbaro,ESP,train,3.7975519999999996,7
arbitrar,ESP,train,2.873498,8
mojar,ESP,train,2.767042,5
satelite,ESP,train,4.2886169999999995,8
garito,ESP,train,2.494042,6
subsidio,ESP,train,3.5012199999999996,8
bacanal,ESP,train,2.507405,7
ocelado,ESP,train,2.386831,7
violencia,ESP,train,4.994729,9
tarot,ESP,train,3.182016,5
fiebre,ESP,train,4.231764,6
rabia,ESP,train,4.206989,5
lanzar,ESP,train,4.378235,6
caucho,ESP,train,3.646584,6
dulcemente,ESP,train,3.489036,10
riojana,ESP,train,2.916604,7
citacion,ESP,train,3.2227330000000003,8
inflexible,ESP,train,3.48536,10
cedula,ESP,train,3.6554089999999997,6
desove,ESP,train,2.572468,6
descastado,ESP,train,2.425585,10
velado,ESP,train,3.1782880000000002,6
unicornio,ESP,train,3.2971,9
menton,ESP,train,3.282622,6
agravacion,ESP,train,2.590951,10
zootecnia,ESP,train,2.507405,9
contender,ESP,train,2.583652,9
escoria,ESP,train,3.132946,7
moderato,ESP,train,2.403865,8
misantropo,ESP,train,2.679087,10
soldada,ESP,train,2.629041,7
lena,ESP,train,3.3798269999999997,4
tris,ESP,train,2.60868,4
gen,ESP,train,4.2215489999999996,3
murcielago,ESP,train,3.3879879999999996,10
pipa,ESP,train,3.64146,4
limpieza,ESP,train,4.222141000000001,8
abrazar,ESP,train,3.5427739999999996,7
cuidador,ESP,train,3.52545,8
remanso,ESP,train,2.921703,7
avariento,ESP,train,2.946339,9
placa,ESP,train,4.167101000000001,5
fechoria,ESP,train,2.939905,8
vadear,ESP,train,2.6936139999999997,6
sesma,ESP,train,2.549197,5
rifle,ESP,train,3.585122,5
expiracion,ESP,train,3.130864,10
sosegar,ESP,train,2.590951,7
resabio,ESP,train,2.498542,7
torpedo,ESP,train,3.285557,7
flanqueado,ESP,train,3.144228,10
marcaje,ESP,train,2.9479330000000004,7
futurista,ESP,train,3.244164,9
rejoneo,ESP,train,2.572468,7
desplegar,ESP,train,3.597774,9
imposicion,ESP,train,4.209087,10
idoneidad,ESP,train,3.2302720000000003,9
estatuder,ESP,train,2.699291,9
aditivo,ESP,train,3.030284,7
longitud,ESP,train,4.746439,8
demostenes,ESP,train,3.169781,10
catadura,ESP,train,2.734486,8
consolar,ESP,train,3.248167,8
fabula,ESP,train,3.728464,6
morbilidad,ESP,train,2.7928029999999997,10
favorecer,ESP,train,4.187915,9
surco,ESP,train,3.485821,5
barro,ESP,train,4.216778,5
ferozmente,ESP,train,3.0656529999999997,10
coloniaje,ESP,train,2.386831,9
rendir,ESP,train,4.0167839999999995,6
pelea,ESP,train,4.310973000000001,5
ente,ESP,train,4.101496,4
incorporo,ESP,train,2.498542,9
falacia,ESP,train,3.4016319999999998,7
aerosol,ESP,train,2.721285,7
capitan,ESP,train,4.883004,7
conmovedor,ESP,train,3.166909,10
futil,ESP,train,2.814966,5
coordinado,ESP,train,3.5531629999999996,10
tontamente,ESP,train,2.664059,10
espasmo,ESP,train,2.84823,7
plomizo,ESP,train,2.767042,7
epistola,ESP,train,3.554739,8
tibia,ESP,train,3.555918,5
liberta,ESP,train,2.43605,7
jolgorio,ESP,train,2.667106,8
inferir,ESP,train,3.4049769999999997,7
memorandum,ESP,train,3.2089990000000004,10
procedente,ESP,train,4.415674,10
vispera,ESP,train,4.0077300000000005,7
dispersa,ESP,train,3.4908629999999996,8
infinidad,ESP,train,3.7648660000000005,9
malaria,ESP,train,3.6538470000000003,7
amabilidad,ESP,train,3.6975949999999997,10
comunicar,ESP,train,4.092467,9
rejon,ESP,train,2.997492,5
invitar,ESP,train,3.7258190000000004,7
divisor,ESP,train,2.977153,7
pertiga,ESP,train,3.123493,7
lateral,ESP,train,4.203735,7
tenaza,ESP,train,2.747298,6
pingo,ESP,train,2.6731380000000002,5
desamor,ESP,train,3.027644,7
importador,ESP,train,3.064439,10
renovable,ESP,train,3.5602120000000004,9
espectral,ESP,train,3.52713,9
abridor,ESP,train,2.723958,7
contagiar,ESP,train,2.734486,9
alma,ESP,train,5.112089,4
desollado,ESP,train,2.441189,9
boyante,ESP,train,2.657898,7
locamente,ESP,train,3.061998,9
costo,ESP,train,4.24585,5
faraon,ESP,train,3.993499,6
blasfemar,ESP,train,2.532959,9
bicolor,ESP,train,2.819266,7
cobrizo,ESP,train,2.541153,7
peon,ESP,train,3.8534019999999995,4
digno,ESP,train,4.300504,5
familia,ESP,train,5.442719,7
ribero,ESP,train,2.446268,6
chapado,ESP,train,2.403865,7
mimosa,ESP,train,2.6731380000000002,6
denuncia,ESP,train,4.4553139999999996,8
zozobrar,ESP,train,2.723958,8
azotea,ESP,train,3.282622,6
ensillado,ESP,train,2.906222,9
indice,ESP,train,4.587536,6
renacer,ESP,train,3.446269,7
placenta,ESP,train,3.023654,8
acertijo,ESP,train,3.119225,8
irreal,ESP,train,3.443228,6
volumen,ESP,train,4.719431,7
hepatitis,ESP,train,3.4467730000000003,9
torax,ESP,train,3.339785,5
persico,ESP,train,3.3827589999999996,7
transmisor,ESP,train,3.40275,10
sagaz,ESP,train,3.383343,5
pubertad,ESP,train,3.300645,8
cubil,ESP,train,2.667106,5
quien,ESP,train,5.695268,5
reduccion,ESP,train,4.776989,9
alcanzado,ESP,train,4.611244,9
duplicar,ESP,train,3.4779120000000003,8
desempeno,ESP,train,4.0167839999999995,9
microbus,ESP,train,2.541153,8
tapadera,ESP,train,3.106163,8
acepcion,ESP,train,3.4693769999999997,8
caporal,ESP,train,2.4308490000000003,7
catolica,ESP,train,4.7318,8
florin,ESP,train,2.516091,6
indecencia,ESP,train,2.774221,10
alud,ESP,train,3.2286080000000004,4
unir,ESP,train,4.259027,4
evitacion,ESP,train,2.939905,9
jesuita,ESP,train,3.7706470000000003,7
empellon,ESP,train,2.451289,8
gres,ESP,train,2.564848,4
albedo,ESP,train,2.61214,6
arancel,ESP,train,3.267645,7
octubre,ESP,train,5.272004,7
joyero,ESP,train,3.027644,6
elastica,ESP,train,3.62236,8
epico,ESP,train,3.533786,5
autarquia,ESP,train,2.6051919999999997,9
prospecto,ESP,train,2.936652,9
tragaluz,ESP,train,2.61214,8
calcio,ESP,train,3.822888,6
candil,ESP,train,3.024988,6
purgatorio,ESP,train,3.4207910000000004,10
habanero,ESP,train,2.6878610000000003,8
necesidad,ESP,train,5.255029,9
calvo,ESP,train,4.078561,5
escroto,ESP,train,2.590951,7
botellon,ESP,train,2.95425,8
panfleto,ESP,train,3.092695,8
quejido,ESP,train,2.92001,7
municipal,ESP,train,4.943423,9
raiz,ESP,train,4.637186,4
traducible,ESP,train,2.729254,10
ungido,ESP,train,2.862018,6
indigena,ESP,train,4.272268,8
avicola,ESP,train,2.92001,7
lia,ESP,train,5.371976,3
fortalecer,ESP,train,4.1389309999999995,10
capilar,ESP,train,2.926744,7
catalogo,ESP,train,4.179597,8
fluidez,ESP,train,3.486742,7
acequia,ESP,train,3.3041620000000003,7
charanga,ESP,train,2.767042,8
muchacha,ESP,train,4.340559,8
pipo,ESP,train,2.980118,4
filogenia,ESP,train,3.161105,9
azote,ESP,train,3.414317,5
ratero,ESP,train,2.654785,6
alcazaba,ESP,train,3.111653,8
cienaga,ESP,train,3.283358,7
arrollado,ESP,train,3.164017,9
ceja,ESP,train,3.4339760000000004,4
andorrana,ESP,train,2.747298,9
rusia,ESP,train,4.993026,5
redactar,ESP,train,3.791893,8
zafiro,ESP,train,3.159153,6
robledo,ESP,train,3.4557589999999996,7
zumbido,ESP,train,3.360575,7
barranco,ESP,train,3.860464,8
reticencia,ESP,train,3.240935,10
carboxilo,ESP,train,2.532959,9
virtual,ESP,train,4.186998,7
mendiga,ESP,train,2.579956,7
odre,ESP,train,2.4755580000000004,4
celia,ESP,train,3.67642,5
transeunte,ESP,train,3.112743,10
cruel,ESP,train,4.294243,5
epiteto,ESP,train,3.20019,7
rogativa,ESP,train,2.4755580000000004,8
laser,ESP,train,3.9503120000000003,5
son,ESP,train,6.194262,3
presunto,ESP,train,4.123705999999999,8
cuchicheo,ESP,train,3.11383,9
carcelario,ESP,train,2.9526790000000003,10
sarga,ESP,train,2.545193,5
diabetes,ESP,train,3.7139860000000002,8
meca,ESP,train,3.722089,4
defecar,ESP,train,2.480253,7
lascivo,ESP,train,2.702102,7
buzon,ESP,train,3.135019,5
alfarero,ESP,train,2.91831,8
maldito,ESP,train,3.94538,7
hocico,ESP,train,3.8768839999999996,6
avistar,ESP,train,2.676123,7
ordinario,ESP,train,4.115023000000001,9
lanzador,ESP,train,3.5981300000000003,8
cena,ESP,train,4.288834,4
